Modelo,Velocidade (km/h)
Volvo 142E,103
AMC Javelin,167
Toyota Corolla,99
Duster 360,128
Lincoln Continental,139
Fiat X1-9,120
Honda Civic,142
Merc 280C,150
Valiant,101
Ferrari Dino,126
Merc 450SE,122
Porsche 914-2,89
Camaro Z28,135
Merc 450SLC,118
Duster 360,139
Dodge Challenger,111
Toyota Corona,90
Porsche 914-2,110
Merc 280,146
Datsun 710,125
Camaro Z28,163
Hornet Sportabout,148
AMC Javelin,160
Toyota Corolla,105
Merc 450SE,137
Maserati Bora,128
Merc 230,125
Hornet Sportabout,141
Toyota Corona,107
Porsche 914-2,100
AMC Javelin,173
Fiat X1-9,114
Merc 450SLC,121
Merc 450SLC,107
Pontiac Firebird,122
Ferrari Dino,128
Honda Civic,141
Merc 240D,126
Merc 230,139
Hornet 4 Drive,127
Honda Civic,121
Camaro Z28,148
Hornet Sportabout,145
Merc 280,129
Merc 450SE,162
Porsche 914-2,87
Honda Civic,148
Valiant,112
Pontiac Firebird,117
Merc 280C,145
Ferrari Dino,119
Duster 360,139
Honda Civic,109
Valiant,107
Merc 450SLC,124
Honda Civic,146
Merc 280,135
Valiant,101
Hornet Sportabout,145
Camaro Z28,141
Hornet 4 Drive,136
Merc 450SL,72
Maserati Bora,143
Merc 450SLC,125
Porsche 914-2,100
Valiant,81
Camaro Z28,139
Volvo 142E,113
Chrysler Imperial,118
Maserati Bora,135
AMC Javelin,150
Lincoln Continental,117
Merc 280C,144
Porsche 914-2,104
Porsche 914-2,88
Merc 240D,118
Fiat 128,92
Maserati Bora,132
Hornet Sportabout,151
Merc 240D,147
Merc 450SE,133
Pontiac Firebird,114
Hornet Sportabout,113
Valiant,91
Merc 280C,150
Pontiac Firebird,119
Lotus Europa,97
Honda Civic,143
Chrysler Imperial,136
Ferrari Dino,135
Datsun 710,121
Hornet Sportabout,140
Pontiac Firebird,123
Merc 450SE,135
Merc 450SLC,129
Ford Pantera L,92
Duster 360,118
Merc 280,133
Pontiac Firebird,123
Fiat X1-9,110
Dodge Challenger,117
Merc 230,112
Toyota Corona,94
Chrysler Imperial,144
Merc 450SL,97
Mazda RX4 Wag,101
Dodge Challenger,105
Dodge Challenger,87
Hornet 4 Drive,124
Mazda RX4 Wag,89
Valiant,120
Merc 450SLC,111
Pontiac Firebird,122
Merc 450SLC,100
Volvo 142E,71
Mazda RX4 Wag,114
Merc 450SE,135
Porsche 914-2,105
Fiat X1-9,97
Maserati Bora,127
Lotus Europa,108
Camaro Z28,145
Hornet Sportabout,137
Merc 450SE,154
Cadillac Fleetwood,124
Merc 450SE,144
Merc 240D,161
Ferrari Dino,145
Pontiac Firebird,114
Merc 280C,144
Merc 280,147
Merc 240D,130
Merc 240D,157
Merc 230,137
Hornet 4 Drive,127
Merc 240D,137
Merc 280,133
Cadillac Fleetwood,136
Toyota Corona,101
Merc 280,146
AMC Javelin,150
Merc 280,133
Duster 360,126
Merc 230,126
Ford Pantera L,107
Camaro Z28,154
Merc 450SLC,129
Valiant,101
Fiat X1-9,113
Ferrari Dino,128
Porsche 914-2,110
Valiant,109
Camaro Z28,149
Hornet 4 Drive,128
Hornet Sportabout,135
Mazda RX4 Wag,98
Merc 450SLC,123
Hornet Sportabout,139
Merc 240D,129
Merc 240D,140
Merc 450SE,128
Hornet Sportabout,141
Toyota Corona,96
Ford Pantera L,81
Merc 230,123
Duster 360,157
Merc 240D,123
Ferrari Dino,120
Merc 230,132
Honda Civic,145
Merc 450SE,141
Merc 230,131
Ford Pantera L,90
Toyota Corona,90
Lotus Europa,117
Honda Civic,132
Merc 450SLC,114
Porsche 914-2,106
Porsche 914-2,114
Cadillac Fleetwood,144
Lotus Europa,96
Pontiac Firebird,119
Hornet Sportabout,146
Dodge Challenger,111
Hornet 4 Drive,126
Honda Civic,126
Duster 360,144
Porsche 914-2,105
Hornet 4 Drive,116
Ford Pantera L,87
Camaro Z28,160
Camaro Z28,160
Merc 230,126
Cadillac Fleetwood,146
Fiat X1-9,109
Merc 450SLC,123
Merc 280,138
Duster 360,138
Honda Civic,131
Pontiac Firebird,114
Merc 450SL,85
Mazda RX4 Wag,118
Fiat 128,97
Merc 450SE,146
Ferrari Dino,147
Fiat X1-9,108
Ferrari Dino,134
Dodge Challenger,92
Merc 240D,147
Volvo 142E,93
Ferrari Dino,136
Toyota Corona,96
Toyota Corona,83
Duster 360,106
Merc 450SL,89
Hornet Sportabout,142
Camaro Z28,148
Lotus Europa,87
Lotus Europa,108
Merc 230,138
Merc 280,140
Ferrari Dino,144
Merc 230,113
Merc 450SE,142
Lotus Europa,96
Ferrari Dino,137
Camaro Z28,146
Ferrari Dino,132
Volvo 142E,101
Dodge Challenger,103
Honda Civic,126
Toyota Corolla,112
Valiant,101
Datsun 710,136
Duster 360,131
AMC Javelin,144
Ford Pantera L,94
Valiant,94
Honda Civic,144
Merc 280,134
Honda Civic,125
Toyota Corona,94
Honda Civic,160
Merc 280,148
Hornet 4 Drive,123
Merc 450SL,105
Toyota Corolla,107
Duster 360,131
Merc 230,133
Merc 280,120
Mazda RX4 Wag,120
Merc 230,141
Hornet Sportabout,153
Honda Civic,130
Ferrari Dino,127
Datsun 710,142
Cadillac Fleetwood,144
Merc 230,124
Fiat X1-9,108
Valiant,91
Pontiac Firebird,107
Lotus Europa,108
Merc 230,119
Merc 280,148
Duster 360,137
AMC Javelin,147
Merc 450SLC,113
Valiant,90
Datsun 710,124
Camaro Z28,145
Maserati Bora,117
Merc 280C,161
Fiat 128,95
Pontiac Firebird,129
Valiant,94
AMC Javelin,145
Mazda RX4 Wag,86
Ferrari Dino,144
Merc 450SLC,123
Toyota Corolla,89
Camaro Z28,157
Merc 450SE,153
Merc 240D,140
Merc 450SE,145
Ferrari Dino,144
Fiat X1-9,130
Merc 240D,144
Cadillac Fleetwood,134
Hornet Sportabout,144
Datsun 710,143
Merc 450SL,106
Merc 230,122
AMC Javelin,141
Datsun 710,134
Duster 360,137
AMC Javelin,149
Merc 230,114
Hornet Sportabout,130
Datsun 710,150
Merc 280C,160
Pontiac Firebird,136
Merc 240D,126
Volvo 142E,90
Ferrari Dino,138
Honda Civic,143
Dodge Challenger,118
Hornet 4 Drive,140
Fiat 128,108
Honda Civic,126
Ferrari Dino,133
Merc 280C,136
Valiant,108
Porsche 914-2,109
Duster 360,116
Ferrari Dino,150
Camaro Z28,166
Volvo 142E,108
Toyota Corolla,111
Fiat X1-9,86
Fiat X1-9,107
Merc 230,124
Merc 450SE,126
Cadillac Fleetwood,133
Fiat X1-9,110
Lotus Europa,104
Toyota Corona,105
Camaro Z28,146
Camaro Z28,149
Toyota Corona,106
Camaro Z28,154
Lotus Europa,99
Lotus Europa,113
Merc 280,144
Merc 450SLC,117
Pontiac Firebird,115
Merc 280,135
Maserati Bora,134
Valiant,100
Maserati Bora,120
Cadillac Fleetwood,132
Merc 280C,146
Merc 280,132
Merc 280,138
Merc 240D,153
Merc 280,119
Merc 450SE,148
Ford Pantera L,77
Merc 450SLC,126
Valiant,86
Merc 450SE,138
Toyota Corona,105
Merc 230,122
Toyota Corona,115
Ferrari Dino,152
Merc 450SE,152
Duster 360,135
Duster 360,145
Hornet Sportabout,142
Mazda RX4 Wag,118
Merc 240D,152
Volvo 142E,94
Valiant,113
Fiat X1-9,116
Mazda RX4 Wag,116
Merc 240D,151
Honda Civic,139
Merc 280,146
Camaro Z28,148
Merc 450SLC,114
Merc 450SLC,117
Pontiac Firebird,121
Toyota Corona,73
Mazda RX4 Wag,106
Merc 280C,132
Duster 360,118
Hornet Sportabout,137
Merc 450SL,99
Porsche 914-2,88
Merc 450SLC,143
Pontiac Firebird,120
Toyota Corolla,94
Hornet Sportabout,140
Ford Pantera L,97
Toyota Corona,78
Honda Civic,150
Fiat 128,100
Lotus Europa,90
Honda Civic,138
Fiat 128,111
Volvo 142E,103
Pontiac Firebird,110
Pontiac Firebird,121
Porsche 914-2,107
Merc 450SLC,104
Honda Civic,125
Merc 450SE,155
Toyota Corolla,100
Merc 280C,131
Honda Civic,134
Merc 240D,138
Pontiac Firebird,127
Pontiac Firebird,113
Porsche 914-2,97
Lotus Europa,111
Merc 280,145
Valiant,105
Maserati Bora,149
Merc 280,140
Ford Pantera L,96
Lotus Europa,105
Fiat 128,129
Lincoln Continental,162
Merc 280,144
Merc 280,144
Merc 240D,134
Pontiac Firebird,116
Merc 230,129
Merc 240D,151
Fiat 128,120
Lincoln Continental,145
Pontiac Firebird,102
Merc 240D,137
Merc 280,139
Hornet Sportabout,153
Merc 450SLC,100
Valiant,113
Mazda RX4 Wag,113
Porsche 914-2,104
Fiat X1-9,98
Merc 280,159
Merc 450SL,86
Merc 450SE,152
Ford Pantera L,96
Datsun 710,126
Mazda RX4 Wag,102
Camaro Z28,148
Merc 450SE,149
Merc 230,119
Porsche 914-2,102
Hornet 4 Drive,119
Lotus Europa,101
Pontiac Firebird,112
Cadillac Fleetwood,133
Merc 240D,151
Fiat X1-9,107
Duster 360,141
Duster 360,127
Valiant,85
Duster 360,148
Mazda RX4 Wag,112
Mazda RX4 Wag,117
Merc 450SL,93
Volvo 142E,87
Fiat 128,99
Chrysler Imperial,105
Merc 240D,141
Ferrari Dino,134
Volvo 142E,84
Merc 280,134
Mazda RX4 Wag,106
Merc 450SE,120
Camaro Z28,135
Merc 280C,152
Merc 450SE,149
Merc 240D,116
Honda Civic,141
Datsun 710,133
Dodge Challenger,101
Duster 360,127
Datsun 710,134
Porsche 914-2,124
Merc 240D,137
Toyota Corona,128
Merc 450SE,143
Merc 280C,141
Dodge Challenger,110
Valiant,109
Duster 360,146
Dodge Challenger,102
Merc 450SL,94
Honda Civic,131
Maserati Bora,129
Merc 450SLC,135
Cadillac Fleetwood,145
Camaro Z28,128
Hornet Sportabout,130
Hornet Sportabout,149
Merc 230,134
Dodge Challenger,103
Merc 450SE,136
AMC Javelin,158
Hornet 4 Drive,110
Merc 280C,160
Hornet 4 Drive,133
Merc 280C,155
Cadillac Fleetwood,129
AMC Javelin,158
Merc 280C,137
Hornet Sportabout,155
Lotus Europa,117
Ferrari Dino,114
Pontiac Firebird,133
Pontiac Firebird,123
Hornet Sportabout,154
Valiant,89
Dodge Challenger,95
Toyota Corolla,113
AMC Javelin,153
Toyota Corolla,87
Merc 280,142
Hornet 4 Drive,136
Lotus Europa,100
Fiat X1-9,118
Merc 280,134
Dodge Challenger,93
Merc 240D,144
Datsun 710,151
Merc 280,134
Merc 280,133
Valiant,102
Honda Civic,136
Porsche 914-2,116
Volvo 142E,88
Merc 280,132
Merc 230,115
Ford Pantera L,94
Mazda RX4 Wag,105
Merc 450SLC,130
Merc 280,161
Toyota Corona,79
Porsche 914-2,120
Datsun 710,133
Valiant,93
Chrysler Imperial,132
Hornet Sportabout,136
Honda Civic,136
Merc 240D,127
Merc 450SL,121
Hornet Sportabout,134
Merc 450SLC,121
Datsun 710,136
Volvo 142E,99
Merc 450SLC,116
Mazda RX4 Wag,107
Cadillac Fleetwood,138
Merc 280C,153
Lincoln Continental,133
Honda Civic,122
Fiat 128,103
Datsun 710,132
Ferrari Dino,131
Camaro Z28,130
Merc 450SLC,104
Datsun 710,136
Porsche 914-2,85
Lotus Europa,102
Mazda RX4 Wag,116
Merc 280,141
Pontiac Firebird,121
Honda Civic,135
Lotus Europa,100
Fiat 128,97
Merc 230,106
Ferrari Dino,144
Merc 240D,143
Chrysler Imperial,146
Dodge Challenger,98
Maserati Bora,128
Merc 240D,144
Honda Civic,131
Honda Civic,125
Volvo 142E,96
Mazda RX4 Wag,84
Duster 360,131
Honda Civic,123
Volvo 142E,104
Toyota Corolla,96
Datsun 710,133
Porsche 914-2,106
Duster 360,126
Honda Civic,137
Porsche 914-2,112
Dodge Challenger,116
Merc 450SE,142
Toyota Corolla,102
Hornet 4 Drive,131
Merc 450SLC,132
Hornet Sportabout,139
Volvo 142E,81
Dodge Challenger,104
Mazda RX4 Wag,115
Cadillac Fleetwood,134
Datsun 710,147
Merc 280C,138
Merc 280,117
Camaro Z28,150
Volvo 142E,116
Merc 230,128
Hornet 4 Drive,149
Ferrari Dino,145
Lotus Europa,94
Cadillac Fleetwood,129
Hornet 4 Drive,132
Ferrari Dino,141
Merc 450SLC,113
Pontiac Firebird,116
Camaro Z28,133
Maserati Bora,135
Merc 230,109
Hornet 4 Drive,142
Merc 240D,146
Merc 280,141
Merc 230,140
Camaro Z28,122
Pontiac Firebird,112
Merc 450SE,142
Lincoln Continental,129
Datsun 710,145
Merc 450SLC,90
Merc 240D,149
Porsche 914-2,105
Lotus Europa,99
Merc 450SLC,135
Camaro Z28,154
Camaro Z28,149
Merc 280C,145
Cadillac Fleetwood,138
Hornet 4 Drive,128
Valiant,104
Hornet 4 Drive,116
Cadillac Fleetwood,127
Merc 450SLC,116
Ford Pantera L,96
Duster 360,126
Honda Civic,141
Merc 450SE,140
Lincoln Continental,131
Lincoln Continental,144
Merc 280,134
Merc 450SLC,118
Camaro Z28,143
Merc 240D,146
Merc 280C,118
Cadillac Fleetwood,169
Hornet Sportabout,136
Merc 450SL,92
Camaro Z28,174
Fiat 128,91
Merc 450SE,142
Volvo 142E,96
Hornet 4 Drive,142
Merc 450SL,94
Merc 280C,147
Ferrari Dino,121
Hornet Sportabout,137
AMC Javelin,147
Fiat X1-9,110
Hornet 4 Drive,142
Valiant,92
Lincoln Continental,138
Hornet 4 Drive,128
Ford Pantera L,87
Merc 280C,154
Merc 450SLC,107
Hornet Sportabout,125
Lincoln Continental,136
Mazda RX4 Wag,73
Fiat X1-9,116
Dodge Challenger,105
Merc 280,159
Pontiac Firebird,120
Pontiac Firebird,120
Pontiac Firebird,113
Pontiac Firebird,120
AMC Javelin,150
Duster 360,132
AMC Javelin,140
Porsche 914-2,99
Pontiac Firebird,122
Valiant,90
Pontiac Firebird,136
Merc 280C,133
Duster 360,133
Datsun 710,124
Hornet Sportabout,151
Merc 280,151
Merc 450SE,143
Camaro Z28,139
Honda Civic,133
Duster 360,136
Mazda RX4 Wag,105
Camaro Z28,163
Volvo 142E,100
Hornet Sportabout,127
Camaro Z28,147
Volvo 142E,96
Valiant,94
Merc 280,161
Datsun 710,158
Hornet Sportabout,152
Ford Pantera L,80
Ferrari Dino,132
Pontiac Firebird,122
Hornet Sportabout,132
AMC Javelin,130
Merc 450SLC,114
Pontiac Firebird,122
Ferrari Dino,126
Porsche 914-2,100
Duster 360,128
Valiant,88
Volvo 142E,110
Merc 450SE,145
Lotus Europa,112
Honda Civic,148
Merc 280,137
Merc 230,113
Fiat X1-9,116
Porsche 914-2,115
Lotus Europa,100
Honda Civic,123
Porsche 914-2,90
Pontiac Firebird,114
Fiat X1-9,138
Fiat 128,78
Merc 230,133
Fiat X1-9,116
Porsche 914-2,76
Datsun 710,146
Lotus Europa,118
Ferrari Dino,154
Lotus Europa,106
Duster 360,124
Fiat X1-9,105
Pontiac Firebird,111
Dodge Challenger,110
Fiat 128,92
Pontiac Firebird,105
Datsun 710,134
Mazda RX4 Wag,91
Pontiac Firebird,120
Lotus Europa,109
Camaro Z28,117
Pontiac Firebird,121
Lotus Europa,102
Merc 230,135
Valiant,106
Merc 450SE,145
Merc 280C,153
Porsche 914-2,92
Valiant,94
Datsun 710,143
Camaro Z28,146
Lotus Europa,106
Camaro Z28,153
Merc 280,148
Merc 240D,129
Honda Civic,127
Datsun 710,125
Merc 280,143
Fiat X1-9,119
Maserati Bora,134
Ferrari Dino,138
Cadillac Fleetwood,132
Lincoln Continental,169
Maserati Bora,142
Duster 360,124
Volvo 142E,106
Toyota Corolla,84
Porsche 914-2,98
Toyota Corona,89
Fiat X1-9,123
Merc 240D,137
Camaro Z28,146
Merc 280C,142
Ford Pantera L,106
Merc 450SLC,116
Hornet Sportabout,139
Ferrari Dino,150
Porsche 914-2,88
Toyota Corona,100
Valiant,103
Merc 280C,134
Merc 240D,140
Merc 450SE,156
Mazda RX4 Wag,110
Fiat 128,95
Merc 230,124
Fiat X1-9,115
Volvo 142E,96
Duster 360,135
Valiant,93
Lotus Europa,86
Pontiac Firebird,108
Merc 230,109
Valiant,123
Dodge Challenger,103
Cadillac Fleetwood,146
Merc 280,138
Pontiac Firebird,129
Lotus Europa,101
Porsche 914-2,109
Fiat X1-9,121
Duster 360,118
Volvo 142E,104
Merc 280,140
Pontiac Firebird,131
Merc 230,127
Merc 450SE,132
Mazda RX4 Wag,105
Hornet Sportabout,129
Hornet Sportabout,150
Hornet 4 Drive,124
Valiant,110
Hornet 4 Drive,139
Lotus Europa,110
Merc 280C,151
Volvo 142E,97
Fiat X1-9,102
Fiat X1-9,104
Pontiac Firebird,118
Fiat X1-9,99
Honda Civic,122
Merc 230,110
Toyota Corolla,104
Ford Pantera L,91
Valiant,117
Camaro Z28,137
Camaro Z28,147
Volvo 142E,107
Lotus Europa,103
Camaro Z28,141
Duster 360,101
Lincoln Continental,157
Toyota Corolla,106
Datsun 710,141
Merc 280C,128
Merc 280C,151
Merc 280,150
Valiant,75
Duster 360,135
Hornet Sportabout,145
Chrysler Imperial,125
Volvo 142E,95
Lincoln Continental,147
Honda Civic,142
Honda Civic,112
AMC Javelin,142
Merc 450SL,100
Valiant,111
Mazda RX4 Wag,118
Volvo 142E,112
Honda Civic,148
Merc 280C,143
AMC Javelin,141
Duster 360,138
Merc 450SL,91
Merc 450SLC,114
Ferrari Dino,135
Honda Civic,115
Fiat 128,118
Porsche 914-2,105
Merc 450SE,146
Pontiac Firebird,121
Merc 450SL,101
Mazda RX4 Wag,106
Hornet Sportabout,118
Toyota Corona,88
Lotus Europa,97
Camaro Z28,157
Cadillac Fleetwood,127
Dodge Challenger,128
Fiat X1-9,107
Pontiac Firebird,116
Valiant,107
AMC Javelin,135
Honda Civic,134
Merc 280C,123
Duster 360,128
Valiant,102
Toyota Corona,90
Dodge Challenger,111
Ferrari Dino,129
Honda Civic,153
Hornet Sportabout,155
Cadillac Fleetwood,127
Merc 280C,137
Merc 240D,130
Lincoln Continental,137
Dodge Challenger,104
Dodge Challenger,113
Cadillac Fleetwood,116
Hornet 4 Drive,131
Chrysler Imperial,152
Valiant,112
Porsche 914-2,110
Merc 450SL,96
Honda Civic,136
Camaro Z28,140
Pontiac Firebird,119
Ferrari Dino,139
Lincoln Continental,141
Hornet 4 Drive,139
Merc 280C,148
Maserati Bora,142
Valiant,87
Merc 240D,145
Volvo 142E,100
Cadillac Fleetwood,135
Hornet 4 Drive,140
Volvo 142E,96
Porsche 914-2,83
Honda Civic,121
Valiant,112
Valiant,97
Cadillac Fleetwood,133
Ford Pantera L,84
AMC Javelin,149
Merc 450SL,102
Mazda RX4 Wag,99
Duster 360,116
Honda Civic,139
Pontiac Firebird,108
Maserati Bora,128
Maserati Bora,127
Chrysler Imperial,110
Hornet Sportabout,141
Merc 280C,168
Ford Pantera L,100
Mazda RX4 Wag,118
Pontiac Firebird,113
Merc 240D,129
Honda Civic,124
Hornet Sportabout,136
Maserati Bora,120
Merc 450SLC,120
Hornet Sportabout,144
Dodge Challenger,96
Lincoln Continental,158
Ferrari Dino,139
Dodge Challenger,106
Ford Pantera L,85
Duster 360,123
Dodge Challenger,99
Hornet 4 Drive,130
Toyota Corona,99
Maserati Bora,127
Maserati Bora,128
Hornet Sportabout,140
Hornet Sportabout,132
Merc 280C,149
Merc 450SE,175
Fiat X1-9,84
Merc 280C,138
Pontiac Firebird,109
Dodge Challenger,111
Porsche 914-2,106
Maserati Bora,139
Volvo 142E,106
AMC Javelin,153
Dodge Challenger,93
Dodge Challenger,111
Ferrari Dino,140
Datsun 710,151
Ferrari Dino,133
Porsche 914-2,98
Volvo 142E,102
Volvo 142E,112
Merc 280C,141
Dodge Challenger,111
Valiant,99
AMC Javelin,149
Fiat 128,81
Pontiac Firebird,127
Valiant,89
Mazda RX4 Wag,113
Honda Civic,148
Pontiac Firebird,117
Valiant,104
Hornet 4 Drive,144
Honda Civic,118
Ford Pantera L,100
Lotus Europa,114
Dodge Challenger,98
Fiat X1-9,119
Porsche 914-2,113
Merc 450SLC,115
Lotus Europa,92
Porsche 914-2,112
Valiant,113
Toyota Corona,92
Pontiac Firebird,119
Pontiac Firebird,109
Ferrari Dino,140
Duster 360,127
Merc 240D,128
Honda Civic,134
Ferrari Dino,144
Hornet 4 Drive,113
Merc 280,133
Datsun 710,147
Camaro Z28,155
Hornet 4 Drive,118
Mazda RX4 Wag,122
Lincoln Continental,138
Merc 280C,131
Dodge Challenger,94
Hornet Sportabout,142
Merc 230,138
Duster 360,151
Merc 450SLC,129
Duster 360,142
Toyota Corona,96
Datsun 710,123
Merc 230,116
Merc 450SLC,124
Merc 240D,149
Volvo 142E,83
Merc 240D,138
Lotus Europa,98
Lincoln Continental,138
Pontiac Firebird,98
Merc 450SLC,101
Datsun 710,119
Cadillac Fleetwood,118
Hornet Sportabout,142
Merc 280C,145
Datsun 710,124
Hornet 4 Drive,149
Lincoln Continental,156
Hornet 4 Drive,122
Dodge Challenger,91
Merc 450SLC,102
Merc 450SL,84
Fiat X1-9,117
Porsche 914-2,113
Lotus Europa,79
Hornet 4 Drive,137
Lotus Europa,92
Porsche 914-2,90
Camaro Z28,156
Merc 280C,147
Maserati Bora,122
Honda Civic,124
Fiat X1-9,102
Merc 450SE,127
Hornet 4 Drive,139
Lincoln Continental,154
Mazda RX4 Wag,113
Maserati Bora,131
Merc 240D,136
Merc 230,127
Fiat X1-9,120
Cadillac Fleetwood,154
Hornet 4 Drive,130
Camaro Z28,141
Mazda RX4 Wag,110
Fiat 128,113
Camaro Z28,133
Dodge Challenger,104
Ferrari Dino,138
Volvo 142E,88
Porsche 914-2,100
Porsche 914-2,106
Fiat X1-9,112
Merc 280,132
Valiant,115
Duster 360,156
Merc 450SLC,133
Maserati Bora,143
Pontiac Firebird,120
Merc 280,146
Valiant,89
Merc 240D,125
Lotus Europa,98
Honda Civic,140
Camaro Z28,142
Merc 230,114
Toyota Corolla,90
Porsche 914-2,117
Honda Civic,138
Merc 280C,141
Merc 230,112
Merc 280,158
Ferrari Dino,140
Hornet 4 Drive,126
Merc 450SE,144
Merc 280,145
Fiat X1-9,116
Hornet 4 Drive,128
Merc 450SLC,103
Dodge Challenger,99
Pontiac Firebird,108
Honda Civic,123
Merc 230,112
Duster 360,133
Lincoln Continental,143
Mazda RX4 Wag,96
Duster 360,139
Merc 450SLC,136
Merc 450SE,158
Datsun 710,133
Merc 280,150
Lotus Europa,103
Duster 360,128
Pontiac Firebird,112
Merc 280,152
Maserati Bora,127
Merc 230,149
Cadillac Fleetwood,130
Hornet Sportabout,131
Honda Civic,141
Hornet 4 Drive,146
Lotus Europa,113
Lotus Europa,119
Honda Civic,141
AMC Javelin,150
Datsun 710,148
Pontiac Firebird,105
Datsun 710,136
Hornet 4 Drive,114
Merc 230,138
AMC Javelin,156
Camaro Z28,145
Ford Pantera L,93
Lotus Europa,90
Valiant,98
Duster 360,126
Fiat X1-9,122
Fiat 128,101
Merc 230,118
Maserati Bora,109
Toyota Corona,108
Merc 280,138
Lotus Europa,107
Merc 450SL,99
Cadillac Fleetwood,129
Duster 360,106
Lincoln Continental,159
Fiat X1-9,130
Volvo 142E,91
Camaro Z28,164
Hornet Sportabout,136
Hornet 4 Drive,114
Valiant,108
Pontiac Firebird,110
Merc 280,154
Dodge Challenger,109
Toyota Corolla,97
Hornet Sportabout,134
Fiat X1-9,115
Maserati Bora,124
Merc 240D,120
Ford Pantera L,91
Merc 280C,152
Merc 450SL,69
Merc 450SE,149
Merc 450SL,104
Volvo 142E,97
Merc 450SLC,100
Hornet Sportabout,134
Porsche 914-2,107
Honda Civic,125
Cadillac Fleetwood,119
Merc 450SE,147
Volvo 142E,101
Dodge Challenger,92
Lincoln Continental,138
Merc 450SLC,121
Porsche 914-2,92
Lotus Europa,102
Merc 230,113
Lotus Europa,90
Datsun 710,130
Lotus Europa,98
Lincoln Continental,145
Dodge Challenger,94
Dodge Challenger,96
Fiat X1-9,111
Valiant,111
Merc 450SLC,130
Mazda RX4 Wag,92
Toyota Corona,106
Ferrari Dino,127
Merc 240D,157
Camaro Z28,142
Volvo 142E,76
Volvo 142E,84
Fiat X1-9,129
Valiant,114
Pontiac Firebird,138
Dodge Challenger,99
Merc 240D,127
Merc 280,138
AMC Javelin,150
Merc 230,114
Cadillac Fleetwood,136
Ford Pantera L,107
Merc 450SE,157
Fiat X1-9,108
Hornet 4 Drive,128
Volvo 142E,103
Valiant,97
Hornet Sportabout,139
AMC Javelin,152
Toyota Corolla,100
Merc 280,143
Honda Civic,140
Merc 280,153
Merc 450SL,103
Chrysler Imperial,141
Hornet 4 Drive,146
Ferrari Dino,135
Toyota Corona,84
Volvo 142E,96
Merc 450SE,145
Camaro Z28,143
Maserati Bora,124
Toyota Corona,91
AMC Javelin,150
Valiant,90
Chrysler Imperial,138
Honda Civic,145
Merc 240D,141
Duster 360,117
Mazda RX4 Wag,89
Volvo 142E,96
Volvo 142E,97
Cadillac Fleetwood,141
Merc 280C,148
Duster 360,132
Merc 280C,153
Merc 230,118
Hornet Sportabout,124
Ferrari Dino,138
Datsun 710,133
Maserati Bora,121
Merc 450SL,97
Hornet Sportabout,149
Ford Pantera L,85
Hornet Sportabout,143
Camaro Z28,133
Ford Pantera L,88
Volvo 142E,102
Valiant,82
Maserati Bora,130
Mazda RX4 Wag,102
Ford Pantera L,100
Datsun 710,138
Merc 450SE,137
Hornet Sportabout,140
Camaro Z28,157
Pontiac Firebird,110
Camaro Z28,151
Pontiac Firebird,117
Merc 280,152
Honda Civic,122
Honda Civic,139
Mazda RX4 Wag,122
Ferrari Dino,139
Volvo 142E,94
Hornet Sportabout,138
Porsche 914-2,106
Ford Pantera L,88
Valiant,87
Merc 450SL,86
Merc 450SE,132
Maserati Bora,113
Ford Pantera L,102
Camaro Z28,149
Dodge Challenger,109
Merc 230,125
Honda Civic,134
Lotus Europa,105
Camaro Z28,135
Merc 230,137
Pontiac Firebird,103
Toyota Corolla,107
Hornet Sportabout,144
Lotus Europa,109
Merc 450SLC,120
Merc 230,130
Fiat 128,106
Hornet Sportabout,130
Fiat 128,100
Duster 360,135
Valiant,97
Volvo 142E,105
Mazda RX4 Wag,126
Volvo 142E,105
Hornet 4 Drive,132
Merc 280C,148
Pontiac Firebird,127
Fiat X1-9,109
Datsun 710,142
Volvo 142E,109
Ferrari Dino,139
Merc 450SLC,110
Mazda RX4 Wag,107
Merc 450SLC,124
Merc 280,139
Merc 450SL,81
Ford Pantera L,94
Hornet Sportabout,142
Pontiac Firebird,115
Hornet 4 Drive,119
Camaro Z28,128
Hornet 4 Drive,138
Volvo 142E,95
Toyota Corona,92
Ford Pantera L,110
Lotus Europa,106
Ferrari Dino,118
Merc 280C,142
Hornet Sportabout,126
Hornet Sportabout,121
Merc 450SLC,115
Merc 280C,153
Hornet 4 Drive,117
Pontiac Firebird,123
Mazda RX4 Wag,83
Toyota Corona,112
Merc 230,134
Hornet 4 Drive,133
AMC Javelin,154
Merc 450SL,103
Ford Pantera L,75
Lotus Europa,96
Volvo 142E,94
Valiant,102
Toyota Corona,104
Dodge Challenger,103
Duster 360,116
Ford Pantera L,94
Merc 450SLC,119
Merc 280C,141
Datsun 710,131
Cadillac Fleetwood,142
Dodge Challenger,104
Valiant,93
Porsche 914-2,115
Toyota Corona,86
Toyota Corona,105
Ford Pantera L,117
Merc 450SE,147
Honda Civic,120
Dodge Challenger,102
Valiant,107
Fiat 128,96
Honda Civic,137
Merc 230,128
Mazda RX4 Wag,108
Camaro Z28,146
Duster 360,135
Ford Pantera L,79
Merc 450SE,157
Merc 240D,119
Fiat X1-9,101
Ferrari Dino,137
Hornet Sportabout,147
Duster 360,139
Ferrari Dino,124
Cadillac Fleetwood,157
Merc 450SE,146
Merc 280,142
Merc 280C,139
Porsche 914-2,110
Merc 230,124
